iter	Passed	Remaining
0	2	5608
1	5	5313
2	7	5185
3	10	5089
4	12	5053
5	15	5049
6	17	5010
7	20	4988
8	22	4970
9	24	4963
10	27	4943
11	29	4929
12	32	4924
13	34	4934
14	37	4925
15	39	4928
16	42	4915
17	44	4911
18	47	4916
19	49	4916
20	52	4913
21	54	4913
22	57	4910
23	59	4918
24	62	4917
25	64	4914
26	67	4910
27	69	4908
28	72	4902
29	74	4898
30	77	4897
31	79	4892
32	81	4883
33	84	4877
34	87	4885
35	89	4885
36	91	4878
37	94	4870
38	96	4867
39	99	4863
40	101	4865
41	104	4861
42	106	4858
43	109	4854
44	111	4849
45	114	4845
46	116	4842
47	118	4838
48	121	4832
49	123	4828
50	126	4829
51	128	4826
52	131	4822
53	133	4820
54	136	4817
55	138	4812
56	141	4808
57	143	4804
58	145	4800
59	148	4799
60	151	4807
61	153	4805
62	156	4801
63	158	4805
64	161	4806
65	164	4807
66	166	4804
67	168	4798
68	171	4793
69	173	4788
70	176	4785
71	178	4781
72	181	4781
73	183	4778
74	185	4773
75	188	4770
76	190	4767
77	193	4766
78	195	4762
79	198	4759
80	200	4755
81	203	4752
82	205	4749
83	208	4749
84	210	4747
85	213	4745
86	215	4741
87	218	4738
88	220	4736
89	223	4734
90	225	4732
91	228	4733
92	230	4730
93	233	4726
94	235	4724
95	238	4723
96	240	4721
97	243	4719
98	245	4718
99	248	4716
100	250	4713
101	253	4714
102	255	4711
103	258	4709
104	260	4706
105	263	4704
106	265	4701
107	268	4701
108	270	4698
109	273	4696
110	275	4693
111	278	4689
112	280	4688
113	283	4685
114	285	4683
115	288	4680
116	290	4677
117	293	4673
118	295	4671
119	297	4667
120	300	4664
121	303	4669
122	305	4668
123	308	4664
124	310	4662
125	313	4659
126	316	4663
127	318	4660
128	321	4656
129	323	4654
130	326	4651
131	328	4648
132	331	4646
133	333	4644
134	336	4641
135	338	4638
136	340	4636
137	343	4633
138	345	4630
139	348	4626
140	350	4625
141	353	4624
142	355	4621
143	358	4618
144	360	4614
145	363	4612
146	365	4608
147	368	4605
148	370	4602
149	372	4599
150	375	4598
151	377	4595
152	380	4592
153	383	4591
154	385	4589
155	388	4586
156	390	4584
157	393	4587
158	396	4585
159	398	4583
160	401	4581
161	403	4579
162	406	4576
163	408	4574
164	411	4571
165	413	4569
166	416	4566
167	419	4576
168	422	4573
169	424	4570
170	427	4567
171	429	4563
172	431	4561
173	434	4559
174	436	4556
175	439	4553
176	441	4550
177	444	4547
178	446	4544
179	449	4541
180	451	4539
181	454	4537
182	456	4535
183	459	4533
184	461	4530
185	464	4528
186	466	4526
187	469	4524
188	471	4521
189	474	4519
190	476	4516
191	479	4515
192	482	4514
193	484	4513
194	487	4511
195	489	4508
196	492	4505
197	494	4502
198	497	4500
199	499	4497
200	502	4495
201	504	4492
202	507	4490
203	509	4487
204	512	4484
205	514	4481
206	517	4479
207	519	4477
208	522	4473
209	524	4470
210	527	4468
211	529	4465
212	531	4463
213	534	4460
214	536	4458
215	539	4455
216	541	4453
217	544	4450
218	546	4447
219	549	4448
220	552	4446
221	554	4444
222	557	4442
223	559	4439
224	562	4437
225	565	4435
226	567	4432
227	570	4430
228	572	4427
229	575	4427
230	577	4421
231	579	4418
232	582	4415
233	584	4411
234	587	4409
235	589	4406
236	592	4404
237	594	4402
238	597	4400
239	599	4397
240	602	4395
241	604	4392
242	607	4389
243	609	4387
244	612	4384
245	614	4381
246	617	4379
247	619	4377
248	622	4374
249	624	4372
250	627	4369
251	629	4366
252	631	4363
253	634	4361
254	637	4361
255	639	4358
256	641	4353
257	644	4351
258	646	4348
259	649	4346
260	651	4343
